Collection Title,Collection Handle,Collection Description HTML,Published,Product Handle,Product Title,Position
Pants & Joggers,monts-pants-and-joggers,<p>MONTS pants and joggers designed for everyday comfort.</p>,TRUE,monts-wide-fit-charcoal-pants,Wide Fit Charcoal Pants,8
Jackets & Overshirts,monts-jackets-and-overshirts,<p>MONTS lightweight jackets and versatile overshirts.</p>,TRUE,monts-lightweight-black-jacket,Lightweight Black Jacket,1
Jackets & Overshirts,monts-jackets-and-overshirts,<p>MONTS lightweight jackets and versatile overshirts.</p>,TRUE,monts-lightweight-beige-jacket,Lightweight Beige Jacket,2
Jackets & Overshirts,monts-jackets-and-overshirts,<p>MONTS lightweight jackets and versatile overshirts.</p>,TRUE,monts-utility-olive-jacket,Utility Olive Jacket,3
Jackets & Overshirts,monts-jackets-and-overshirts,<p>MONTS lightweight jackets and versatile overshirts.</p>,TRUE,monts-minimal-navy-overshirt,Minimal Navy Overshirt,4
Jackets & Overshirts,monts-jackets-and-overshirts,<p>MONTS lightweight jackets and versatile overshirts.</p>,TRUE,monts-minimal-black-overshirt,Minimal Black Overshirt,5
Footwear,monts-footwear,<p>MONTS minimal everyday footwear.</p>,TRUE,monts-minimal-white-sneakers,Minimal White Sneakers,1
Footwear,monts-footwear,<p>MONTS minimal everyday footwear.</p>,TRUE,monts-minimal-black-sneakers,Minimal Black Sneakers,2
Footwear,monts-footwear,<p>MONTS minimal everyday footwear.</p>,TRUE,monts-everyday-grey-sneakers,Everyday Grey Sneakers,3
Bags,monts-bags,<p>MONTS everyday totes and backpacks.</p>,TRUE,monts-canvas-black-tote,Canvas Black Tote,1
Bags,monts-bags,<p>MONTS everyday totes and backpacks.</p>,TRUE,monts-canvas-natural-tote,Canvas Natural Tote,2
Bags,monts-bags,<p>MONTS everyday totes and backpacks.</p>,TRUE,monts-everyday-black-backpack,Everyday Black Backpack,3
Accessories,monts-accessories,"<p>MONTS everyday caps, belts, wallets, socks, and scarves.</p>",TRUE,monts-daily-black-cap,Daily Black Cap,1
Accessories,monts-accessories,"<p>MONTS everyday caps, belts, wallets, socks, and scarves.</p>",TRUE,monts-daily-beige-cap,Daily Beige Cap,2
Accessories,monts-accessories,"<p>MONTS everyday caps, belts, wallets, socks, and scarves.</p>",TRUE,monts-daily-navy-cap,Daily Navy Cap,3
Accessories,monts-accessories,"<p>MONTS everyday caps, belts, wallets, socks, and scarves.</p>",TRUE,monts-classic-black-belt,Classic Black Belt,4
Accessories,monts-accessories,"<p>MONTS everyday caps, belts, wallets, socks, and scarves.</p>",TRUE,monts-minimal-brown-belt,Minimal Brown Belt,5
Accessories,monts-accessories,"<p>MONTS everyday caps, belts, wallets, socks, and scarves.</p>",TRUE,monts-everyday-black-wallet,Everyday Black Wallet,6
Accessories,monts-accessories,"<p>MONTS everyday caps, belts, wallets, socks, and scarves.</p>",TRUE,monts-everyday-tan-wallet,Everyday Tan Wallet,7
Accessories,monts-accessories,"<p>MONTS everyday caps, belts, wallets, socks, and scarves.</p>",TRUE,monts-monts-logo-socks,MONTS Logo Socks,8
Accessories,monts-accessories,"<p>MONTS everyday caps, belts, wallets, socks, and scarves.</p>",TRUE,monts-monts-black-socks,MONTS Black Socks,9
Accessories,monts-accessories,"<p>MONTS everyday caps, belts, wallets, socks, and scarves.</p>",TRUE,monts-minimal-grey-scarf,Minimal Grey Scarf,10
